MATERIAL INFORMATION	
	Material = PMMA
	Thickness = 1 mm
SAXS INSTRUMENT	
	Source = Cu K-alpha
	Wavelength = 1.5418 A 
	Sample-to-detector distance = 106 mm
	Exposure time = 60 s

===============================================================	
q (A^-1)	I(q)
===============================================================
-0.015857	0.092694
-0.0108425	0.0273049
-0.0058281	0.071435
-0.00081367	-3.1998e-06
0.00420075	-0.026706
0.00921516	0.160834
0.0142296	0.252017
0.0192439	-0.0500529
0.0242583	-0.417019
0.0292727	-0.530487
0.034287	-0.442221
0.0393013	-0.191382
0.0443156	0.0286272
0.0493298	0.0229394
0.0543441	-0.0495508
0.0593583	-0.0330351
0.0643725	0.00447242
0.0693866	0.00820231
0.0744007	-0.00383233
0.0794148	0.00151923
0.0844288	0.0120199
0.0894428	0.0168306
0.0944567	0.0149435
0.0994706	0.0293366
0.104485	0.0188204
0.109498	0.0224725
0.114512	0.0207098
0.119526	0.022394
0.124539	0.0236099
0.129553	0.0207263
0.134566	0.0150987
0.13958	0.0175058
0.144593	0.0174516
0.149607	0.0110638
0.15462	0.0132646
0.159633	0.0144588
0.164647	0.0174115
0.16966	0.0199847
0.174673	0.0151491
0.179686	0.0174319
0.184698	0.0131947
0.189711	0.0162521
0.194724	0.0158287
0.199736	0.0187705
0.204749	0.0178971
0.209761	0.0169531
0.214774	0.0173554
0.219786	0.0214272
0.224798	0.0206177
0.22981	0.0180687
0.234822	0.0202597
0.239834	0.0285944
0.244846	0.030112
0.249858	0.0239525
0.254869	0.0216569
0.259881	0.021853
0.264892	0.0217731
0.269903	0.0246346
0.274914	0.0329555
0.279925	0.0263741
0.284936	0.0304177
0.289947	0.0275562
0.294958	0.0353487
0.299968	0.030338
0.304979	0.028291
0.309989	0.0292599
0.314999	0.0228083
0.32001	0.0230223
0.325019	0.0330386
0.330029	0.0343252
0.335039	0.0339506
0.340048	0.0275119
0.345058	0.0287258
0.350067	0.0345719
0.355076	0.0416045
0.360085	0.048401
0.365094	0.040579
0.370103	0.0399636
0.375111	0.0459655
0.38012	0.0445202
0.385128	0.0445
0.390136	0.0417244
0.395144	0.0348805
0.400152	0.038701
0.405159	0.038086
0.410167	0.0419716
0.415174	0.048993
0.420181	0.046234
0.425188	0.0452858
0.430195	0.049838
0.435201	0.0461439
0.440208	0.0491211
0.445214	0.0498431
0.45022	0.0546076
0.455226	0.0568979
0.460232	0.0578603
0.465237	0.0544973
0.470243	0.059059
0.475248	0.0648654
0.480253	0.0578072
0.485258	0.0655332
0.490262	0.0625265
0.495266	0.066746
0.500271	0.0712218
0.505275	0.0683547
0.510278	0.0657741
0.515282	0.0692536
0.520285	0.0740892
0.525289	0.0741341
0.530292	0.0773312
0.535294	0.079328
0.540297	0.0859858
0.545299	0.0887374
0.550302	0.0888658
0.555303	0.0880042
0.560305	0.0872631
0.565307	0.0938823
0.570308	0.0885682
0.575309	0.090573
0.58031	0.0889958
0.58531	0.0944376
0.590311	0.103296
0.595311	0.10281
0.60031	0.101278
0.60531	0.10417
0.61031	0.10377
0.615309	0.114515
0.620308	0.113613
0.625306	0.108456
0.630305	0.114159
0.635303	0.122739
0.640301	0.127257
0.645299	0.124286
0.650296	0.123534
0.655293	0.11857
0.66029	0.127254
0.665287	0.126176
0.670283	0.129099
0.675279	0.134182
0.680275	0.141254
0.685271	0.148951
0.690266	0.153041
0.695261	0.146522
0.700256	0.149405
0.705251	0.153723
0.710245	0.154558
0.715239	0.161679
0.720233	0.167351
0.725226	0.164605
0.730219	0.166283
0.735212	0.172935
0.740204	0.173564
0.745197	0.180522
0.750189	0.181111
0.75518	0.185482
