MATERIAL INFORMATION	
	Material = Flx9095
	Thickness = 1 mm
SAXS INSTRUMENT	
	Source = Cu K-alpha
	Wavelength = 1.5418 A 
	Sample-to-detector distance = 106 mm
	Exposure time = 60 s

===============================================================	
q (A^-1)	I(q)
===============================================================
0.00171434	-0.00192394
0.00294236	-0.000310427
0.00417038	-0.0593959
0.0053984	-0.0517241
0.00662642	-0.00605892
0.00785444	0.0217331
0.00908246	0.0541349
0.0103105	0.100309
0.0115385	0.121538
0.0127665	0.0887073
0.0139945	0.040428
0.0152226	0.0346394
0.0164506	0.0446539
0.0176786	0.0458162
0.0189066	0.0388208
0.0201346	0.0399611
0.0213626	0.0350993
0.0225907	0.020996
0.0238187	0.0033327
0.0250467	0.0185375
0.0262747	0.026168
0.0275027	0.0253391
0.0287307	0.0116221
0.0299587	0.0243994
0.0311868	0.0285171
0.0324148	0.0162908
0.0336428	0.000984705
0.0348708	-0.00441988
0.0360988	-0.00843962
0.0373268	-0.0227106
0.0385548	-0.0106904
0.0397828	-0.0173637
0.0410108	0.00813071
0.0422388	0.0109211
0.0434668	0.00479316
0.0446948	0.00291051
0.0459228	-0.0077703
0.0471508	-0.00627905
0.0483788	-0.00332926
0.0496068	-0.00088537
0.0508348	-0.0120466
0.0520628	-0.00390985
0.0532908	0.00235437
0.0545188	0.00341342
0.0557468	0.00196116
0.0569748	0.00399995
0.0582028	0.0105424
0.0594308	0.0124141
0.0606587	0.00684118
0.0618867	0.0121301
0.0631147	0.0264157
0.0643427	0.0196336
0.0655707	0.0273156
0.0667987	0.0317195
0.0680266	0.0443358
0.0692546	0.0567451
0.0704826	0.0543407
0.0717106	0.0627792
0.0729385	0.0608468
0.0741665	0.0649603
0.0753945	0.0852369
0.0766224	0.104415
0.0778504	0.0954162
0.0790784	0.109491
0.0803063	0.103067
0.0815343	0.110259
0.0827623	0.108211
0.0839902	0.103095
0.0852182	0.100354
0.0864461	0.108225
0.0876741	0.105176
0.088902	0.103883
0.09013	0.106652
0.0913579	0.11649
0.0925858	0.114386
0.0938138	0.110313
0.0950417	0.102735
0.0962697	0.107256
0.0974976	0.109269
0.0987255	0.0990382
0.0999535	0.0928025
0.101181	0.0949157
0.102409	0.0887846
0.103637	0.0906052
0.104865	0.0937651
0.106093	0.103475
0.107321	0.110088
0.108549	0.103156
0.109777	0.105858
0.111005	0.109614
0.112233	0.109788
0.113461	0.110803
0.114688	0.111184
0.115916	0.102894
0.117144	0.10293
0.118372	0.104286
0.1196	0.100901
0.120828	0.103444
0.122056	0.0911963
0.123284	0.0958764
0.124512	0.100298
0.125739	0.0978043
0.126967	0.101517
0.128195	0.0936111
0.129423	0.0979651
0.130651	0.10326
0.131879	0.0869402
0.133107	0.0899602
0.134334	0.0907505
0.135562	0.0854675
0.13679	0.085781
0.138018	0.0963711
0.139246	0.0946951
0.140474	0.0949302
0.141701	0.0917299
0.142929	0.0992892
0.144157	0.0942819
0.145385	0.0887366
0.146613	0.0931563
0.147841	0.0959602
0.149068	0.0942873
0.150296	0.0894057
0.151524	0.0894741
0.152752	0.0931953
0.15398	0.0920221
0.155208	0.0901866
0.156435	0.0960582
0.157663	0.096724
0.158891	0.103898
0.160119	0.100832
0.161346	0.0952015
0.162574	0.0910423
0.163802	0.089538
0.16503	0.0892436
0.166258	0.0906985
0.167485	0.0872395
0.168713	0.0956431
0.169941	0.090019
0.171169	0.089956
0.172396	0.0833235
0.173624	0.0758042
0.174852	0.074587
0.17608	0.0862384
0.177307	0.0887466
0.178535	0.0891932
0.179763	0.0892358
0.18099	0.0949823
0.182218	0.0963516
0.183446	0.0962148
0.184674	0.0972671
0.185901	0.0855337
0.187129	0.0894868
0.188357	0.0904036
0.189584	0.0924179
0.190812	0.0944735
0.19204	0.0964127
0.193267	0.0905063
0.194495	0.0949646
0.195723	0.0939563
0.19695	0.0926408
0.198178	0.0838762
0.199406	0.0813599
0.200633	0.092162
0.201861	0.0949383
0.203089	0.101778
0.204316	0.0931183
0.205544	0.102413
0.206772	0.0938988
0.207999	0.096073
0.209227	0.098111
0.210454	0.102546
0.211682	0.102856
0.21291	0.0988104
0.214137	0.0997612
0.215365	0.0992104
0.216592	0.106506
0.21782	0.0992054
0.219048	0.101196
0.220275	0.0993684
0.221503	0.0969164
0.22273	0.0909485
0.223958	0.104353
0.225185	0.0989589
0.226413	0.101132
0.227641	0.0985178
0.228868	0.100894
0.230096	0.0973151
0.231323	0.101589
0.232551	0.100329
0.233778	0.102761
0.235006	0.105828
0.236233	0.0947313
0.237461	0.0954692
0.238688	0.0988158
0.239916	0.100231
0.241143	0.10844
0.242371	0.11046
0.243598	0.104922
0.244826	0.109062
0.246053	0.102807
0.24728	0.104428
0.248508	0.113463
0.249735	0.113962
0.250963	0.112623
0.25219	0.109578
0.253418	0.119172
0.254645	0.108527
0.255873	0.113505
0.2571	0.107053
0.258327	0.109392
0.259555	0.108426
0.260782	0.106316
0.26201	0.119796
0.263237	0.113006
0.264464	0.109914
0.265692	0.109854
0.266919	0.106848
0.268146	0.108349
0.269374	0.117285
0.270601	0.119554
0.271828	0.116072
0.273056	0.119231
0.274283	0.11761
0.27551	0.115896
0.276738	0.121519
0.277965	0.125651
0.279192	0.11743
0.28042	0.127838
0.281647	0.125761
0.282874	0.129595
0.284101	0.1254
0.285329	0.127337
0.286556	0.11974
0.287783	0.124366
0.289011	0.119869
0.290238	0.118116
0.291465	0.117214
0.292692	0.126329
0.293919	0.121506
0.295147	0.131103
0.296374	0.131391
0.297601	0.124799
0.298828	0.126807
0.300055	0.132446
0.301283	0.127296
0.30251	0.118215
0.303737	0.125684
0.304964	0.130722
0.306191	0.131471
0.307418	0.132565
0.308646	0.128415
0.309873	0.131491
0.3111	0.131831
0.312327	0.134404
0.313554	0.130903
0.314781	0.131796
