MATERIAL INFORMATION	
	Material = Hydroxyapatite (powder)
SAXS INSTRUMENT	
	Source = Cu K-alpha
	Wavelength = 1.5418 A 
	Sample-to-detector distance = 106 mm
	Exposure time = 500 s

===============================================================	
q (A^-1)	I(q)
===============================================================
0.00178309	-0.0796673
0.00301064	-0.0820714
0.00423819	-0.0921456
0.00546573	-0.169923
0.00669328	-0.227412
0.00792082	-0.221712
0.00914837	-0.151686
0.0103759	-0.0617663
0.0116035	0.0185004
0.012831	0.0481432
0.0140586	0.0440716
0.0152861	0.0106337
0.0165136	-0.0127732
0.0177412	0.0105322
0.0189687	0.0262991
0.0201963	-0.0223398
0.0214238	-0.0382579
0.0226514	0.0630461
0.0238789	0.0793282
0.0251064	-0.198446
0.026334	-0.333426
0.0275615	0.111475
0.0287891	-0.341979
0.0300166	-3.174
0.0312441	-6.13037
0.0324717	-6.95235
0.0336992	-6.24105
0.0349267	-4.5934
0.0361543	-2.5813
0.0373818	-0.789868
0.0386094	0.353709
0.0398369	0.414898
0.0410644	0.101775
0.042292	0.123231
0.0435195	0.239367
0.044747	0.216507
0.0459745	0.157036
0.0472021	0.160307
0.0484296	0.181716
0.0496571	0.183475
0.0508846	0.178675
0.0521122	0.193615
0.0533397	0.207342
0.0545672	0.207792
0.0557947	0.200883
0.0570222	0.189766
0.0582498	0.192432
0.0594773	0.19352
0.0607048	0.188736
0.0619323	0.16835
0.0631598	0.163993
0.0643873	0.141347
0.0656148	0.135653
0.0668423	0.125984
0.0680698	0.131572
0.0692973	0.12573
0.0705248	0.122493
0.0717523	0.106361
0.0729798	0.101164
0.0742073	0.109088
0.0754348	0.102153
0.0766623	0.0934211
0.0778898	0.0965596
0.0791173	0.0897469
0.0803448	0.0925268
0.0815723	0.0851126
0.0827998	0.078219
0.0840272	0.0783205
0.0852547	0.0804092
0.0864822	0.0772513
0.0877097	0.0779425
0.0889372	0.0743904
0.0901646	0.0764845
0.0913921	0.0721667
0.0926196	0.0711158
0.093847	0.0641401
0.0950745	0.0584701
0.096302	0.0637254
0.0975294	0.0592855
0.0987569	0.0575543
0.0999843	0.055606
0.101212	0.055566
0.102439	0.0452228
0.103667	0.0505818
0.104894	0.0419386
0.106122	0.0364122
0.107349	0.0392375
0.108577	0.0425207
0.109804	0.0453848
0.111031	0.0487728
0.112259	0.0423436
0.113486	0.0413932
0.114714	0.0440273
0.115941	0.0418478
0.117169	0.0350881
0.118396	0.0418597
0.119623	0.039703
0.120851	0.0400054
0.122078	0.039379
0.123306	0.0378389
0.124533	0.0375732
0.12576		0.0373432
0.126988	0.0282474
0.128215	0.0329724
0.129442	0.0292831
0.13067		0.0314982
0.131897	0.023139
0.133125	0.025934
0.134352	0.031226
0.13558		0.0249264
0.136807	0.0260118
0.138034	0.0279148
0.139262	0.0227135
0.140489	0.0207965
0.141716	0.0202489
0.142944	0.0220061
0.144171	0.0272333
0.145398	0.0269654
0.146626	0.0262634
0.147853	0.020547
0.14908		0.0251014
0.150308	0.0167908
0.151535	0.0206755
0.152762	0.0207004
0.15399		0.0266738
0.155217	0.0214034
0.156444	0.0185803
0.157672	0.0185036
0.158899	0.0179993
0.160126	0.0169657
0.161354	0.0159851
0.162581	0.0169614
0.163808	0.0175165
