MATERIAL INFORMATION
	Material = 33% iodine on King Arthur parchment
	Thickness = 0.006 mm
SAXS INSTRUMENT
	Source = Cu K-alpha
	Wavelength = 1.5418 A 
	Sample-to-detector distance = 106 mm
	Exposure time = 500 s

===============================================================
q (A^-1)	I(q)
===============================================================
0.00203935	3.84759
0.00327789	3.29368
0.00451643	3.04543
0.00575497	1.52005
0.00699351	-0.919129
0.00823205	-1.81401
0.00947059	-3.24016
0.0107091	-5.25721
0.0119477	-7.01822
0.0131862	-6.00233
0.0144248	-3.62816
0.0156633	-1.29734
0.0169018	0.487279
0.0181404	-0.266276
0.0193789	-0.736835
0.0206174	-0.936427
0.021856	-0.469619
0.0230945	-0.92522
0.0243331	-1.34258
0.0255716	-1.41979
0.0268101	-1.01516
0.0280487	-0.393854
0.0292872	-1.28168
0.0305257	-5.41278
0.0317643	-9.72225
0.0330028	-11.1488
0.0342413	-9.69393
0.0354799	-5.36054
0.0367184	-1.17868
0.0379569	-0.177577
0.0391954	-0.419428
0.040434	0.020081
0.0416725	0.570284
0.042911	0.653305
0.0441495	0.544632
0.045388	0.663586
0.0466266	0.59146
0.0478651	0.630904
0.0491036	0.53513
0.0503421	0.526063
0.0515806	0.697861
0.0528192	0.602982
0.0540577	0.303931
0.0552962	0.622632
0.0565347	0.876873
0.0577732	1.68711
0.0590117	1.85487
0.0602502	2.13571
0.0614887	2.15174
0.0627272	2.1425
0.0639657	2.13863
0.0652042	1.7009
0.0664427	1.82834
0.0676812	1.7942
0.0689197	1.82497
0.0701582	1.43622
0.0713967	1.96534
0.0726352	1.9185
0.0738737	2.38986
0.0751122	1.74473
0.0763507	1.90271
0.0775892	2.13074
0.0788277	1.73386
0.0800662	1.56506
0.0813046	1.41197
0.0825431	1.03048
0.0837816	1.29824
0.0850201	1.29646
0.0862585	1.33656
0.087497	1.32808
0.0887355	1.11016
0.0899739	1.37562
0.0912124	1.55838
0.0924509	1.66949
0.0936893	1.30615
0.0949278	1.08609
0.0961662	0.857214
0.0974047	0.858582
0.0986431	0.682987
0.0998816	0.971408
0.10112	0.968184
0.102358	0.689676
0.103597	0.720113
0.104835	1.05022
0.106074	0.748203
0.107312	0.66367
0.108551	0.155959
0.109789	0.694698
0.111027	0.601953
0.112266	0.619585
0.113504	0.403011
0.114743	0.738889
0.115981	0.640526
0.11722	0.712568
0.118458	0.687761
0.119696	0.941759
0.120935	0.627613
0.122173	0.696021
0.123412	0.429623
0.12465	0.483473
0.125888	0.370867
0.127127	0.503795
0.128365	0.831344
0.129604	0.701454
0.130842	0.719282
0.13208	0.550682
0.133319	0.634437
0.134557	0.7084
0.135796	0.588575
0.137034	0.902428
0.138272	0.381388
0.139511	0.703428
0.140749	0.362733
0.141987	0.351988
0.143226	0.542906
0.144464	0.708406
0.145702	0.826242
0.146941	0.877542
0.148179	0.558764
0.149417	0.404395
0.150656	0.713299
0.151894	0.534398
0.153132	0.615519
0.154371	0.613318
0.155609	0.694674
0.156847	0.712601
0.158086	0.68992
0.159324	0.641758
0.160562	0.581077
0.1618	0.564249
0.163039	0.597993
0.164277	0.566384
0.165515	0.600442
0.166754	0.795129
0.167992	0.569452
0.16923	0.769781
0.170469	0.217148
0.171707	0.436182
0.172945	0.656854
0.174183	0.205809
0.175422	0.304251
0.17666	0.551186
0.177898	-0.325116
0.179136	0.186202
0.180374	0.281173
0.181613	0.377244
0.182851	0.435352
0.184089	0.423497
0.185327	0.39168
0.186566	0.842399
0.187804	0.335509
0.189042	0.255982
0.19028	0.178428
0.191518	0.151368
0.192757	0.14489
0.193995	0.171934
0.195233	0.124572
0.196471	0.170318
0.197709	0.188143
0.198948	0.0323709
0.200186	0.205941
0.201424	0.218523
0.202662	0.219233
0.2039	0.256858
0.205138	0.260654
0.206377	0.29301
0.207615	0.264792
0.208853	-0.245029
0.210091	0.0417307
0.211329	0.0707899
0.212567	0.337275
0.213805	0.483936
0.215043	0.282758
0.216282	-0.0303155
0.21752	0.156684
0.218758	0.311088
0.219996	0.195742
0.221234	0.224739
0.222472	0.189487
0.22371	0.264722
0.224948	0.353545
0.226186	0.44024
0.227424	0.141878
0.228662	0.618304
0.2299	0.149924
0.231138	0.190581
0.232376	0.558133
0.233615	0.251401
0.234852	0.357504
0.236091	0.176776
0.237329	0.34392
0.238567	0.193336
0.239805	0.151446
0.241043	0.230413
0.242281	0.034905
0.243519	-0.0661424
0.244757	0.576492
0.245995	0.26458
0.247233	0.102277
0.24847	0.220447
0.249709	0.300613
0.250946	0.188693
0.252184	0.190484
0.253422	-0.00522972
0.25466	0.0776101
0.255898	0.28532
0.257136	-0.00852791
0.258374	-0.0176965
0.259612	0.0898295
0.26085	0.0433376
0.262088	-0.143193
0.263326	0.079857
0.264564	0.174043
0.265801	0.0372524
0.267039	0.0758863
0.268277	0.252416
0.269515	0.409457
0.270753	0.162569
0.271991	0.190312
0.273229	-0.0810046
0.274467	-0.153277
0.275704	-0.0411599
0.276942	0.155548
0.27818	0.0736657
0.279418	-0.0340778
0.280656	0.0729379
0.281893	-0.0572756
0.283131	0.0202757
0.284369	0.0960996
0.285607	0.0412113
0.286845	0.129644
0.288082	-0.0834926
0.28932	0.129098
0.290558	0.189878
0.291796	0.136023
0.293033	0.0953147
0.294271	0.0578618
0.295509	0.030076
0.296746	-0.0323503
0.297984	-0.041024
0.299222	-0.0167267
0.30046	0.00212075
0.301697	0.0149156
0.302935	0.0721893
0.304173	0.0447842
0.30541	0.114487
0.306648	0.267827
0.307886	-0.0664714
0.309123	-0.00115755
0.310361	-0.0733053
0.311599	-0.0984781
0.312836	0.0986889
0.314074	-0.0782856
0.315312	-0.0737376
0.316549	0.0178965
0.317787	0.0651252
0.319024	0.119621
0.320262	0.0398591
0.321499	0.198154
0.322737	0.0203853
0.323975	0.580652
0.325212	0.0681488
0.32645	0.136011
0.327687	0.129775
0.328925	0.430058
0.330162	-0.146463
0.3314	-0.0229433
0.332637	-0.39191
0.333875	0.36163
0.335112	0.140164
0.33635	0.138255
0.337587	-0.125074
0.338825	-0.0455983
0.340062	-0.0327056
0.3413	0.149674
0.342537	-0.111401
0.343775	-0.00535485
0.345012	-0.00678325
0.346249	0.0378062
0.347487	0.0981968
0.348724	0.139295
0.349962	0.171931
0.351199	0.223829
0.352436	0.107408
0.353674	0.216272
0.354911	0.232919
0.356149	0.373271
0.357386	0.180301
0.358623	0.306085
0.359861	0.251355
0.361098	0.144638
0.362335	0.00541524
0.363573	-0.043889
0.36481	-0.0479267
0.366047	-0.554209
0.367285	-0.102742
0.368522	0.256416
0.369759	0.0492796
0.370996	0.055924
0.372234	-0.0275558
0.373471	0.106152
0.374708	0.0596509
0.375945	0.00688623
0.377183	0.00790405
0.37842	0.0350491
0.379657	0.0667666
0.380894	0.0397756
0.382131	-0.0340515
0.383369	-0.303065
0.384606	-0.0984174
0.385843	0.0578056
0.38708	0.0325693
0.388317	0.155248
0.389554	0.150491
0.390791	0.0248717
0.392028	0.0204161
0.393265	0.105177
0.394503	0.0286285
0.39574	0.11449
0.396977	-0.070792
0.398214	-0.105312
0.399451	-0.287191
0.400688	-0.177427
0.401925	-0.319473
0.403162	-0.172215
0.404399	0.058256
0.405636	0.0635354
0.406873	0.0749301
0.40811	-0.0561745
0.409347	0.560195
0.410584	0.120208
0.411821	0.125361
0.413058	-0.0207509
0.414295	-0.0278938
0.415532	-0.0519038
0.416769	-0.116293
0.418006	-0.025725
0.419243	0.0712793
0.42048	0.162375
0.421716	0.0886476
0.422953	0.183655
0.42419	0.0844285
0.425427	-0.00641438
0.426664	0.0645714
0.427901	0.0434998
0.429138	0.0367947
0.430374	0.171397
0.431611	-0.0418343
0.432848	0.0210388
0.434085	0.419084
0.435321	0.221229
0.436558	0.115315
0.437795	-0.0551113
0.439032	-0.187777
0.440269	-0.141496
0.441505	0.0107581
0.442742	-0.180045
0.443979	-0.285219
0.445215	-0.196457
0.446452	-0.091579
0.447689	-0.000126169
0.448925	-0.188332
0.450162	0.0259648
0.451399	-0.293668
0.452635	-0.400587
0.453872	-0.192564
0.455108	-0.286565
0.456345	-0.231883
0.457582	-0.0216301
0.458818	0.0603152
0.460055	-0.0304914
0.461291	0.13954
0.462528	0.044756
0.463765	-0.0300799
0.465001	-0.0387963
0.466238	0.116647
0.467474	0.122519
0.468711	0.139193
0.469947	-0.0974204
0.471183	0.0904611
0.47242	-0.0152241
0.473656	-0.0251512
0.474893	0.0397031
0.476129	-0.00640532
0.477366	-0.0372591
0.478602	-0.0433842
0.479839	0.0885379
0.481075	-0.0168709
0.482311	-0.116336
0.483548	-0.0167857
0.484784	0.04134
0.48602	-0.00462793
0.487257	0.0420315
0.488493	-0.00229231
0.489729	-0.0805253
0.490966	-0.0981029
0.492202	0.0119962
0.493438	-0.00390471
0.494675	0.10691
0.495911	-0.104097
0.497147	-0.0501156
0.498383	-0.110606
0.499619	-0.154887
0.500856	-0.196375
0.502092	-0.216945
0.503328	-0.312445
0.504564	-0.188783
0.5058	-0.134942
0.507037	-0.0349905
0.508273	0.393948
0.509509	0.478774
0.510745	0.0127847
0.511981	0.0446953
0.513217	0.0332944
0.514453	0.375974
0.515689	-0.124641
0.516925	-0.0743522
0.518161	0.019701
0.519397	0.135224
0.520633	0.0871675
0.521869	-0.0222582
0.523105	-0.142091
0.524341	-0.184718
0.525577	-0.105248
0.526813	-0.0431394
0.528049	-0.106396
0.529285	0.0161463
0.530521	0.054375
0.531757	-0.0656965
0.532993	-0.0220887
0.534229	-0.0282256
0.535465	-0.0457062
0.5367	-0.107994
0.537936	-0.189522
0.539172	-0.0868497
0.540408	-0.137817
0.541644	-0.0412062
0.542879	-0.0765754
0.544115	-0.0684781
0.545351	0.0609107
0.546587	0.577085
0.547823	-0.0625135
0.549058	-0.391158
0.550294	0.140558
0.55153	0.0911572
0.552766	0.128402
0.554001	-0.0416712
0.555237	-0.017344
0.556473	0.0425935
0.557708	-0.129095
0.558944	-0.0957383
0.560179	0.0212953
0.561415	0.0137391
0.562651	-0.445564
0.563886	0.0208031
0.565122	0.0276406
0.566357	-0.193745
0.567593	-0.185799
0.568828	-0.180903
0.570064	0.00598896
0.571299	0.00502278
0.572535	0.0341944
0.57377	0.0167019
0.575006	0.143575
0.576241	-0.318345
0.577477	-0.0606953
0.578712	-0.0837899
0.579948	-0.159484
0.581183	-0.19141
0.582418	0.354007
0.583654	-0.0830168
0.584889	-0.00178115
0.586124	-0.0379715
0.58736	-0.0879156
0.588595	-0.0864482
0.58983	-0.0783183
0.591066	-0.158548
0.592301	-0.163721
0.593536	-0.542946
0.594771	-0.56058
0.596007	-0.058986
0.597242	0.0925738
0.598477	0.0870741
0.599712	0.128184
0.600947	0.102087
0.602182	0.0699678
0.603418	0.0437382
0.604653	0.174429
0.605888	0.118819
0.607123	0.0559031
0.608358	-0.0322398
0.609593	-0.000443387
0.610828	-0.00883975
0.612063	0.0118874
0.613298	-0.153275
0.614533	-0.14223
0.615768	-0.14972
0.617003	-0.140276
0.618238	-0.0889062
0.619473	0.00574152
0.620708	-0.181193
0.621943	-0.0866866
0.623178	0.0405334
0.624413	-0.0767385
0.625648	-0.0278213
0.626883	0.462751
0.628118	-0.0239521
0.629352	-0.0111382
0.630587	0.118927
0.631822	0.103932
0.633057	-0.472362
0.634292	-0.0792029
0.635527	-0.0249944
0.636761	0.116133
0.637996	0.203603
0.639231	-0.11414
0.640466	-0.132366
0.6417	-0.0921383
0.642935	-0.0417654
0.64417	-0.0900845
0.645404	-0.133584
0.646639	-0.0252754
0.647873	-0.0670406
0.649108	-0.0395213
0.650343	0.022295
0.651577	0.0194772
0.652812	-0.135045
0.654046	-0.0960491
0.655281	-0.0298751
0.656516	0.130787
0.65775	-0.0958651
0.658985	-0.0160189
0.660219	-0.0468935
0.661454	-0.110437
0.662688	0.0303315
0.663922	-0.0287757
0.665157	-0.136226
0.666391	-0.117202
0.667625	-0.199498
0.66886	-0.122802
0.670094	-0.043686
0.671329	0.0340766
0.672563	0.13571
0.673797	0.167929
0.675032	0.137613
0.676266	0.064595
0.6775	-0.0784841
0.678734	-0.26901
0.679969	-0.0649479
0.681203	-0.0481742
0.682437	-0.120682
0.683671	-0.12063
0.684905	-0.158539
0.68614	-0.167379
0.687374	-0.105267
0.688608	0.0823593
