MATERIAL INFORMATION
	Material = King Arthur parchment
	Thickness = 0.006 mm
SAXS INSTRUMENT
	Source = Cu K-alpha
	Wavelength = 1.5418 A 
	Sample-to-detector distance = 106 mm
	Exposure time = 500 s

===============================================================
q (A^-1)	I(q)
===============================================================
0.00203935	2.78927
0.00327789	2.58626
0.00451643	-0.158278
0.00575497	-3.50178
0.00699351	-5.48916
0.00823205	-2.13235
0.00947059	1.09954
0.0107091	-0.942964
0.0119477	-3.47758
0.0131862	-2.87895
0.0144248	-0.835681
0.0156633	0.686983
0.0169018	1.7398
0.0181404	0.771709
0.0193789	-0.724273
0.0206174	-1.19931
0.021856	-0.789774
0.0230945	-1.01084
0.0243331	-1.03549
0.0255716	-1.7354
0.0268101	-1.41622
0.0280487	-0.312203
0.0292872	-0.00552403
0.0305257	-2.08577
0.0317643	-4.49621
0.0330028	-5.18732
0.0342413	-4.29608
0.0354799	-1.96353
0.0367184	0.141118
0.0379569	0.34497
0.0391954	-0.0814218
0.040434	0.121731
0.0416725	0.426487
0.042911	0.304969
0.0441495	0.112662
0.045388	0.162527
0.0466266	0.0822195
0.0478651	0.510743
0.0491036	0.584054
0.0503421	0.364084
0.0515806	0.233165
0.0528192	0.301008
0.0540577	0.639211
0.0552962	0.801552
0.0565347	0.730349
0.0577732	1.43149
0.0590117	1.2829
0.0602502	1.38102
0.0614887	1.20615
0.0627272	1.46054
0.0639657	1.5503
0.0652042	1.09984
0.0664427	1.17274
0.0676812	1.11406
0.0689197	1.17209
0.0701582	1.25879
0.0713967	1.28883
0.0726352	1.2729
0.0738737	1.13428
0.0751122	0.924587
0.0763507	0.734403
0.0775892	0.628807
0.0788277	0.655545
0.0800662	0.663106
0.0813046	0.644556
0.0825431	0.293975
0.0837816	0.619006
0.0850201	0.615406
0.0862585	0.678236
0.087497	0.493399
0.0887355	1.10181
0.0899739	0.963647
0.0912124	1.04823
0.0924509	0.852078
0.0936893	0.911453
0.0949278	0.993199
0.0961662	0.655237
0.0974047	0.782965
0.0986431	0.80191
0.0998816	0.947608
0.10112	1.16801
0.102358	0.686784
0.103597	0.746311
0.104835	1.11733
0.106074	0.654405
0.107312	0.544417
0.108551	0.0276161
0.109789	0.52272
0.111027	0.577243
0.112266	0.322156
0.113504	0.395574
0.114743	0.434188
0.115981	0.488548
0.11722	0.416048
0.118458	0.353061
0.119696	0.223434
0.120935	0.0701925
0.122173	0.318595
0.123412	0.373096
0.12465	0.445127
0.125888	0.29525
0.127127	0.269092
0.128365	0.341194
0.129604	0.285847
0.130842	0.400945
0.13208	0.523245
0.133319	0.410643
0.134557	0.671873
0.135796	0.653863
0.137034	0.977715
0.138272	0.690304
0.139511	0.62872
0.140749	0.191664
0.141987	0.194555
0.143226	0.132753
0.144464	0.20462
0.145702	0.274276
0.146941	0.364666
0.148179	0.423148
0.149417	0.573316
0.150656	0.649499
0.151894	0.445145
0.153132	0.287182
0.154371	0.0804415
0.155609	0.265431
0.156847	0.225178
0.158086	0.188861
0.159324	0.156153
0.160562	0.172743
0.1618	0.227731
0.163039	0.306928
0.164277	0.173504
0.165515	0.4521
0.166754	0.5377
0.167992	0.249297
0.16923	0.264177
0.170469	-0.0230095
0.171707	-0.146693
0.172945	0.347607
0.174183	0.107465
0.175422	0.202271
0.17666	0.720107
0.177898	-0.258919
0.179136	0.240581
0.180374	0.359188
0.181613	0.315263
0.182851	0.327008
0.184089	0.199703
0.185327	0.167886
0.186566	0.167709
0.187804	-0.00646418
0.189042	-0.00417476
0.19028	0.0719028
0.191518	0.543918
0.192757	-0.147084
0.193995	0.140861
0.195233	0.226222
0.196471	0.22197
0.197709	0.160707
0.198948	-0.0514279
0.200186	0.145778
0.201424	0.256539
0.202662	0.365427
0.2039	0.203967
0.205138	0.187764
0.206377	-0.277138
0.207615	-0.0435455
0.208853	-0.0861083
0.210091	-0.222972
0.211329	-0.155732
0.212567	0.0243923
0.213805	0.197416
0.215043	0.153506
0.216282	-0.0895696
0.21752	-0.0452929
0.218758	0.0900207
0.219996	0.201941
0.221234	0.120032
0.222472	-0.0224893
0.22371	0.103653
0.224948	0.0952059
0.226186	-0.0644548
0.227424	0.0353527
0.228662	0.0117942
0.2299	0.0170355
0.231138	0.0431473
0.232376	0.19707
0.233615	-0.00602914
0.234852	0.00734942
0.236091	-0.132471
0.237329	0.111034
0.238567	-0.0922751
0.239805	-0.127801
0.241043	-0.2761
0.242281	-0.0898016
0.243519	-0.106306
0.244757	0.0427068
0.245995	0.223507
0.247233	0.323924
0.24847	0.176647
0.249709	0.234996
0.250946	0.113984
0.252184	0.100322
0.253422	-0.108119
0.25466	-0.133458
0.255898	0.0424349
0.257136	-0.115053
0.258374	-0.0133162
0.259612	0.0623926
0.26085	-0.122277
0.262088	-0.386077
0.263326	-0.118484
0.264564	-0.076114
0.265801	-0.162906
0.267039	-0.141545
0.268277	-0.00319592
0.269515	0.109301
0.270753	0.323308
0.271991	0.141058
0.273229	-0.198439
0.274467	-0.176168
0.275704	0.362299
0.276942	0.0662944
0.27818	-0.05195
0.279418	0.0203011
0.280656	-0.0399509
0.281893	-0.0538044
0.283131	-0.0689775
0.284369	-0.174966
0.285607	0.0537733
0.286845	0.118571
0.288082	-0.175473
0.28932	0.108933
0.290558	0.00608232
0.291796	0.0104074
0.293033	0.0151521
0.294271	0.0276977
0.295509	0.0480923
0.296746	0.0656636
0.297984	0.0769893
0.299222	0.065833
0.30046	0.019228
0.301697	0.0329318
0.302935	-0.101607
0.304173	-0.0390147
0.30541	0.0906859
0.306648	0.2313
0.307886	-0.142998
0.309123	-0.234043
0.310361	-0.223466
0.311599	-0.0513718
0.312836	0.0576161
0.314074	0.0533636
0.315312	-0.115719
0.316549	0.00591372
0.317787	0.124049
0.319024	0.112183
0.320262	0.0360578
0.321499	-0.0247316
0.322737	-0.0225056
0.323975	-0.154036
0.325212	-0.0265588
0.32645	-0.114146
0.327687	-0.0958379
0.328925	-0.186452
0.330162	-0.26117
0.3314	0.095979
0.332637	-0.537525
0.333875	-0.0757941
0.335112	-0.0436316
0.33635	-0.040086
0.337587	-0.119784
0.338825	-0.0357636
0.340062	0.00621915
0.3413	0.167691
0.342537	0.0884282
0.343775	0.119022
0.345012	0.0230509
0.346249	-0.0296295
0.347487	-0.00832859
0.348724	0.0454965
0.349962	0.0854046
0.351199	-0.0517824
0.352436	-0.0700244
0.353674	0.22247
0.354911	0.0436693
0.356149	0.269472
0.357386	0.0201406
0.358623	0.0377463
0.359861	0.0539228
0.361098	-0.0882473
0.362335	-0.0783836
0.363573	-0.101325
0.36481	-0.0644549
0.366047	0.0210632
0.367285	-0.0420002
0.368522	0.138981
0.369759	-0.00906545
0.370996	0.00121521
0.372234	-0.0340842
0.373471	0.0768968
0.374708	0.0376684
0.375945	-0.01146
0.377183	-0.00589689
0.37842	-0.0105691
0.379657	-0.0233957
0.380894	-0.0803857
0.382131	-0.251483
0.383369	-0.175052
0.384606	0.078685
0.385843	0.115821
0.38708	-0.086683
0.388317	0.032359
0.389554	-0.0633038
0.390791	-0.199832
0.392028	0.0629771
0.393265	-0.0786192
0.394503	-0.140622
0.39574	-0.00203493
0.396977	-0.132773
0.398214	-0.147294
0.399451	-0.170996
0.400688	-0.118503
0.401925	-0.263276
0.403162	-0.122381
0.404399	-0.0382697
0.405636	-0.174804
0.406873	-0.011596
0.40811	-0.12361
0.409347	0.419125
0.410584	-0.14813
0.411821	-0.0784344
0.413058	-0.271817
0.414295	-0.23078
0.415532	-0.202064
0.416769	-0.13464
0.418006	-0.0867972
0.419243	-0.0825175
0.42048	0.0794853
0.421716	0.00484874
0.422953	0.0498578
0.42419	-0.158456
0.425427	-0.170211
0.426664	-0.161041
0.427901	-0.0821159
0.429138	-0.103366
0.430374	-0.221484
0.431611	-0.20654
0.432848	-0.176393
0.434085	-0.0556117
0.435321	0.205609
0.436558	0.0806055
0.437795	0.111991
0.439032	-0.108853
0.440269	-0.259839
0.441505	-0.168492
0.442742	-0.058396
0.443979	-0.324473
0.445215	0.0297351
0.446452	0.0646149
0.447689	-0.165741
0.448925	-0.232132
0.450162	-0.136923
0.451399	-0.147474
0.452635	-0.249848
0.453872	0.0199919
0.455108	-0.152189
0.456345	-0.302046
0.457582	2.24539e-05
0.458818	0.231054
0.460055	-0.00702074
0.461291	0.149374
0.462528	0.0782263
0.463765	0.0315714
0.465001	0.0692173
0.466238	0.0483025
0.467474	0.0114478
0.468711	-0.100056
0.469947	-0.0857676
0.471183	-0.120607
0.47242	-0.146294
0.473656	-0.0962232
0.474893	-0.0795492
0.476129	-0.149293
0.477366	-0.161966
0.478602	-0.0499126
0.479839	0.194733
0.481075	0.094779
0.482311	-0.047412
0.483548	-0.0742216
0.484784	-0.0442769
0.48602	0.362469
0.487257	-0.0908567
0.488493	-0.0779096
0.489729	-0.0988715
0.490966	-0.205537
0.492202	-0.156346
0.493438	-0.153156
0.494675	0.0503835
0.495911	0.0448239
0.497147	0.0760792
0.498383	-0.0507727
0.499619	-0.0741455
0.500856	-0.141087
0.502092	-0.170748
0.503328	-0.237158
0.504564	-0.135313
0.5058	-0.106926
0.507037	-0.0497005
0.508273	0.022885
0.509509	0.436792
0.510745	-0.127376
0.511981	0.0718022
0.513217	-0.134138
0.514453	0.369446
0.515689	-0.0538987
0.516925	-0.220876
0.518161	-0.166822
0.519397	0.025062
0.520633	-0.0420845
0.521869	-0.116966
0.523105	-0.210436
0.524341	-0.142157
0.525577	-0.103595
0.526813	0.00851218
0.528049	-0.07838
0.529285	-0.0694706
0.530521	-0.0994216
0.531757	-0.140405
0.532993	-0.124069
0.534229	-0.151114
0.535465	-0.160413
0.5367	-0.123613
0.537936	-0.200596
0.539172	-0.154285
0.540408	-0.306159
0.541644	-0.23682
0.542879	-0.156738
0.544115	-0.0759156
0.545351	0.000747523
0.546587	-0.0348799
0.547823	-0.10995
0.549058	-0.105878
0.550294	-0.0505108
0.55153	-0.0671848
0.552766	-0.0635758
0.554001	-0.00910989
0.555237	-0.101143
0.556473	-0.0248422
0.557708	-0.0874434
0.558944	0.0850004
0.560179	0.0256756
0.561415	-0.0182431
0.562651	0.0469829
0.563886	-0.0611775
0.565122	-0.0697942
0.566357	-0.0966401
0.567593	-0.0759673
0.568828	-0.166523
0.570064	0.104912
0.571299	0.0294025
0.572535	-0.0423319
0.57377	0.0419907
0.575006	0.0652303
0.576241	-0.563958
0.577477	-0.123586
0.578712	-0.21486
0.579948	-0.211466
0.581183	-0.160667
0.582418	0.242027
0.583654	-0.252268
0.584889	-0.0392177
0.586124	-0.115407
0.58736	-0.218986
0.588595	-0.211155
0.58983	-0.183026
0.591066	-0.191439
0.592301	-0.232975
0.593536	-0.654016
0.594771	-0.620744
0.596007	-0.0718778
0.597242	-0.0475869
0.598477	-0.0494504
0.599712	0.0798388
0.600947	0.108285
0.602182	0.0888931
0.603418	-0.00915248
0.604653	0.00972306
0.605888	-0.00679689
0.607123	-0.0578948
0.608358	-0.126038
0.609593	-0.136059
0.610828	-0.0117319
0.612063	0.13081
0.613298	-0.069806
0.614533	-0.0896694
0.615768	-0.230792
0.617003	-0.171349
0.618238	-0.151797
0.619473	-0.10442
0.620708	-0.147723
0.621943	0.0104182
0.623178	0.164001
0.624413	-0.0741763
0.625648	0.100192
0.626883	0.468041
0.628118	-0.094115
0.629352	0.0532403
0.630587	0.154215
0.631822	0.0201333
0.633057	-0.0570854
0.634292	0.00244783
0.635527	0.0402931
0.636761	0.0614246
0.637996	0.0516243
0.639231	-0.230665
0.640466	-0.226165
0.6417	-0.187755
0.642935	-0.0873836
0.64417	-0.0866132
0.645404	-0.0492056
0.646639	0.0836472
0.647873	-0.100841
0.649108	-0.448765
0.650343	-0.0760488
0.651577	-0.0815939
0.652812	-0.154301
0.654046	-0.0898507
0.655281	0.0254128
0.656516	0.0778965
0.65775	-0.00876002
0.658985	-0.0216383
0.660219	-0.011605
0.661454	-0.0433316
0.662688	-0.0589217
0.663922	-0.048031
0.665157	-0.0800295
0.666391	-0.242818
0.667625	-0.182391
0.66886	-0.182056
0.670094	-0.177483
0.671329	0.011185
0.672563	0.0991829
0.673797	0.0641309
0.675032	-0.0143658
0.676266	-0.00829507
0.6775	-0.0731948
0.678734	-0.268265
0.679969	-0.120566
