MATERIAL INFORMATION	
	Material = TangoBlack
	Thickness = 1 mm
SAXS INSTRUMENT	
	Source = Cu K-alpha
	Wavelength = 1.5418 A 
	Sample-to-detector distance = 106 mm
	Exposure time = 60 s

===============================================================	
q (A^-1)	I(q)
===============================================================
-0.015857	0.121051
-0.0108425	0.0077594
-0.0058281	0.0544706
-0.00081367	-0.0113128
0.00420075	-0.0227411
0.00921516	0.196608
0.0142296	0.272107
0.0192439	-0.157841
0.0242583	-0.665197
0.0292727	-0.831328
0.034287	-0.696289
0.0393013	-0.28826
0.0443156	0.0703038
0.0493298	0.0556031
0.0543441	-0.0618389
0.0593583	-0.0143813
0.0643725	0.0720718
0.0693866	0.0840883
0.0744007	0.0648215
0.0794148	0.0716797
0.0844288	0.0854928
0.0894428	0.0884073
0.0944567	0.0836273
0.0994706	0.0962309
0.104485	0.0851061
0.109498	0.0855763
0.114512	0.075369
0.119526	0.0798404
0.124539	0.0779403
0.129553	0.074087
0.134566	0.0646515
0.13958	0.0723763
0.144593	0.0742654
0.149607	0.0712626
0.15462	0.071008
0.159633	0.0735565
0.164647	0.0769647
0.16966	0.0724893
0.174673	0.0739628
0.179686	0.0761622
0.184698	0.0817594
0.189711	0.0789689
0.194724	0.0824909
0.199736	0.0833549
0.204749	0.0818133
0.209761	0.0882814
0.214774	0.0858223
0.219786	0.0967781
0.224798	0.0988095
0.22981	0.0982631
0.234822	0.0970652
0.239834	0.103675
0.244846	0.112796
0.249858	0.111077
0.254869	0.117536
0.259881	0.119152
0.264892	0.118955
0.269903	0.122907
0.274914	0.129519
0.279925	0.126286
0.284936	0.132274
0.289947	0.134699
0.294958	0.138341
0.299968	0.143028
0.304979	0.147029
0.309989	0.139903
0.314999	0.142856
0.32001	0.142662
0.325019	0.151457
0.330029	0.153637
0.335039	0.155772
0.340048	0.147966
0.345058	0.152491
0.350067	0.153925
0.355076	0.162866
0.360085	0.165976
0.365094	0.159147
0.370103	0.159164
0.375111	0.160789
0.38012	0.159629
0.385128	0.15459
0.390136	0.148343
0.395144	0.148518
0.400152	0.147818
0.405159	0.144126
0.410167	0.147804
0.415174	0.152036
0.420181	0.147542
0.425188	0.144082
0.430195	0.139712
0.435201	0.133004
0.440208	0.134002
0.445214	0.134753
0.45022	0.137896
0.455226	0.131862
0.460232	0.13188
0.465237	0.124408
0.470243	0.126895
0.475248	0.126008
0.480253	0.124454
0.485258	0.123938
0.490262	0.118948
0.495266	0.12176
0.500271	0.118975
0.505275	0.119638
0.510278	0.109302
0.515282	0.10694
0.520285	0.102256
0.525289	0.104586
0.530292	0.103177
0.535294	0.107702
0.540297	0.105308
0.545299	0.111339
0.550302	0.105032
0.555303	0.100627
0.560305	0.0998631
0.565307	0.102033
0.570308	0.0926762
0.575309	0.088349
0.58031	0.0850877
0.58531	0.0934397
0.590311	0.100164
0.595311	0.0945638
0.60031	0.0891486
0.60531	0.0910903
0.61031	0.0888007
0.615309	0.088532
0.620308	0.0938629
0.625306	0.0883007
0.630305	0.0910143
0.635303	0.093
0.640301	0.0921149
0.645299	0.0895818
0.650296	0.0849766
0.655293	0.0813771
0.66029	0.0862998
0.665287	0.0837213
0.670283	0.0853784
0.675279	0.0854573
0.680275	0.0864124
0.685271	0.0908522
0.690266	0.0913873
0.695261	0.085317
0.700256	0.0869209
0.705251	0.0885199
0.710245	0.0861956
0.715239	0.0882093
0.720233	0.0899182
0.725226	0.0848526
0.730219	0.0851235
0.735212	0.0872952
0.740204	0.0832717
0.745197	0.0886615
0.750189	0.0877824
0.75518	0.0885629
0.760172	0.0855689
0.765163	0.0918475
0.770154	0.0912472
0.775144	0.0875585
0.780134	0.0902096
0.785124	0.091657
0.790114	0.0941605
0.795103	0.0892921
0.800092	0.0899331
0.805081	0.0977303
0.810069	0.0941145
0.815057	0.0968357
0.820045	0.0953736
0.825032	0.0967824
0.830019	0.106038
0.835006	0.0986413
0.839992	0.0943874
0.844979	0.104867
0.849964	0.103792
0.85495	0.101219
0.859935	0.0947305
0.86492	0.0891961
0.869904	0.0913252
0.874888	0.0997638
0.879872	0.106237
0.884855	0.107209
0.889838	0.107164
0.894821	0.117647
0.899803	0.119917
0.904785	0.120151
0.909767	0.114244
0.914748	0.112595
0.919729	0.114595
0.92471	0.116582
0.92969	0.122154
0.93467	0.117188
0.93965	0.121701
0.944629	0.122591
0.949608	0.124498
0.954586	0.122811
0.959564	0.122426
0.964542	0.124799
0.969519	0.127863
0.974496	0.130724
0.979473	0.136804
0.984449	0.138516
0.989425	0.138878
0.9944	0.141081
0.999375	0.148426
1.00435	0.152342
1.00932	0.147111
1.0143	0.144506
1.01927	0.148704
1.02424	0.149785
1.02922	0.149714
1.03419	0.154211
1.03916	0.157309
1.04413	0.160049
1.0491	0.159125
1.05407	0.158823
1.05905	0.163757
1.06401	0.15992
1.06898	0.158931
1.07395	0.164411
1.07892	0.170194
1.08389	0.175735
1.08886	0.179632
1.09383	0.180752
1.09879	0.181281
1.10376	0.187897
1.10872	0.186121
1.11369	0.191575
1.11866	0.197393
1.12362	0.196616
1.12858	0.195638
1.13355	0.200722
1.13851	0.204491
1.14348	0.209054
1.14844	0.209598
1.1534	0.206666
1.15836	0.210159
1.16332	0.212758
1.16828	0.213385
1.17324	0.2149
1.1782	0.216944
1.18316	0.21669
1.18812	0.229898
1.19308	0.228432
1.19804	0.226346
1.203	0.230576
1.20795	0.232599
1.21291	0.237773
1.21787	0.241637
1.22282	0.235804
1.22778	0.238477
1.23273	0.241349
1.23769	0.237262
1.24264	0.226999
1.24759	0.229905
1.25255	0.246207
1.2575	0.249957
1.26245	0.256778
1.2674	0.261137
1.27235	0.261877
1.2773	0.26965
1.28225	0.280434
1.2872	0.272794
1.29215	0.267929
1.2971	0.271518
1.30205	0.2628
1.307	0.263175
1.31194	0.265044
1.31689	0.262446
1.32184	0.265854
1.32678	0.271552
1.33173	0.26946
1.33667	0.266558
1.34162	0.271854
1.34656	0.270485
1.3515	0.271553
1.35644	0.268393
1.36138	0.266745
1.36633	0.266149
1.37127	0.266193
1.37621	0.268049
1.38115	0.268957
1.38609	0.267418
1.39103	0.268141
1.39596	0.26868
1.4009	0.271296
1.40584	0.268204
1.41077	0.264289
1.41571	0.256532
1.42065	0.256851
1.42558	0.259551
1.43052	0.258849
1.43545	0.257055
1.44038	0.246758
1.44532	0.253045
1.45025	0.250166
1.45518	0.245583
1.46011	0.248837
1.46504	0.247422
1.46997	0.234355
1.4749	0.238616
1.47983	0.233875
1.48476	0.231291
1.48968	0.233159
1.49461	0.226748
1.49954	0.231617
1.50446	0.229064
1.50939	0.2255
1.51431	0.225537
1.51924	0.215881
1.52416	0.216113
1.52908	0.210154
1.53401	0.206643
1.53893	0.207803
1.54385	0.205602
1.54877	0.20158
1.55369	0.199667
1.55861	0.196771
1.56353	0.195454
1.56845	0.187908
1.57336	0.190207
1.57828	0.187703
1.5832	0.184518
1.58811	0.178713
1.59303	0.175256
1.59794	0.172866
1.60286	0.172194
1.60777	0.165342
1.61268	0.16356
1.6176	0.160822
1.62251	0.156406
1.62742	0.157357
1.63233	0.152325
1.63724	0.150733
1.64215	0.153403
1.64705	0.147587
1.65196	0.143656
1.65687	0.139134
1.66178	0.138347
1.66668	0.135853
1.67159	0.136603
1.67649	0.133553
1.6814	0.130749
1.6863	0.123969
1.6912	0.12322
1.6961	0.118853
1.701	0.117487
1.70591	0.111789
1.7108	0.111718
1.71571	0.105764
1.7206	0.106047
1.7255	0.102687
1.7304	0.0962072
1.7353	0.0982999
1.74019	0.0966772
1.74509	0.0941714
1.74998	0.0957629
1.75488	0.0920973
1.75977	0.0945491
1.76466	0.0906185
1.76955	0.0864631
1.77445	0.086559
1.77934	0.0859442
1.78423	0.0879142
1.78912	0.0834575
1.794	0.0779427
1.79889	0.0757808
1.80378	0.0737256
1.80867	0.0675406
1.81355	0.0639181
1.81844	0.0641651
1.82332	0.0574768
1.8282	0.0497944
1.83309	0.0481333
