MATERIAL INFORMATION	
	Material = VeroClear
	Thickness = 1 mm
SAXS INSTRUMENT	
	Source = Cu K-alpha
	Wavelength = 1.5418 A 
	Sample-to-detector distance = 106 mm
	Exposure time = 60 s

===============================================================	
q (A^-1)	I(q)
===============================================================
-0.015857	0.153761
-0.0108425	-0.00043892
-0.0058281	0.0367362
-0.00081367	-0.0184526
0.00420075	-0.0200933
0.00921516	0.186923
0.0142296	0.277447
0.0192439	-0.0599686
0.0242583	-0.467105
0.0292727	-0.595713
0.034287	-0.499383
0.0393013	-0.219075
0.0443156	0.0266428
0.0493298	0.0177596
0.0543441	-0.0622308
0.0593583	-0.032921
0.0643725	0.0194665
0.0693866	0.0219601
0.0744007	0.00435895
0.0794148	0.0115935
0.0844288	0.0265258
0.0894428	0.033416
0.0944567	0.0318523
0.0994706	0.0432338
0.104485	0.0345943
0.109498	0.0458988
0.114512	0.0376819
0.119526	0.0365893
0.124539	0.0402841
0.129553	0.0405325
0.134566	0.0257435
0.13958	0.0313587
0.144593	0.0376445
0.149607	0.0358088
0.15462	0.0347064
0.159633	0.0373843
0.164647	0.0406285
0.16966	0.0378444
0.174673	0.038195
0.179686	0.0441042
0.184698	0.0388464
0.189711	0.0396657
0.194724	0.0402504
0.199736	0.0451005
0.204749	0.045026
0.209761	0.0461551
0.214774	0.0457015
0.219786	0.0503883
0.224798	0.0503967
0.22981	0.0483549
0.234822	0.0452519
0.239834	0.0553175
0.244846	0.0572535
0.249858	0.0507834
0.254869	0.0521396
0.259881	0.053832
0.264892	0.0486547
0.269903	0.0525306
0.274914	0.0567622
0.279925	0.0588223
0.284936	0.0552198
0.289947	0.0568089
0.294958	0.0682597
0.299968	0.0644789
0.304979	0.0639154
0.309989	0.0612452
0.314999	0.0610766
0.32001	0.0615631
0.325019	0.0694175
0.330029	0.06988
0.335039	0.0692897
0.340048	0.060017
0.345058	0.064363
0.350067	0.0714961
0.355076	0.0793465
0.360085	0.0784399
0.365094	0.0771735
0.370103	0.0737178
0.375111	0.0793836
0.38012	0.0803982
0.385128	0.0838904
0.390136	0.0736463
0.395144	0.0680324
0.400152	0.0737549
0.405159	0.0727785
0.410167	0.0745148
0.415174	0.0785247
0.420181	0.076311
0.425188	0.0742025
0.430195	0.0745513
0.435201	0.0714532
0.440208	0.0736505
0.445214	0.0707778
0.45022	0.0734691
0.455226	0.0736609
0.460232	0.0745281
0.465237	0.0725917
0.470243	0.0751816
0.475248	0.0764105
0.480253	0.076377
0.485258	0.0757659
0.490262	0.0713391
0.495266	0.0729084
0.500271	0.0737768
0.505275	0.0749229
0.510278	0.0668265
0.515282	0.0633954
0.520285	0.0613775
0.525289	0.0630644
0.530292	0.0624195
0.535294	0.0672884
0.540297	0.0654696
0.545299	0.0701485
0.550302	0.0686159
0.555303	0.067545
0.560305	0.06371
0.565307	0.0638877
0.570308	0.0559869
0.575309	0.0581692
0.58031	0.055901
0.58531	0.0591238
0.590311	0.0675892
0.595311	0.0622972
0.60031	0.0585908
0.60531	0.0594544
0.61031	0.0569236
0.615309	0.059256
0.620308	0.0649786
0.625306	0.0583383
0.630305	0.0616895
0.635303	0.0633522
0.640301	0.0596857
0.645299	0.0581787
0.650296	0.0571162
0.655293	0.0536616
0.66029	0.0613369
0.665287	0.0569815
0.670283	0.0574
0.675279	0.0596303
0.680275	0.0605842
0.685271	0.066322
0.690266	0.0602929
0.695261	0.0596512
0.700256	0.061564
0.705251	0.0632515
0.710245	0.0610496
0.715239	0.0650071
