MATERIAL INFORMATION	
	Material = Whewellite (powder)
SAXS INSTRUMENT	
	Source = Cu K-alpha
	Wavelength = 1.5418 A 
	Sample-to-detector distance = 106 mm
	Exposure time = 500 s

===============================================================	
q (A^-1)	I(q)
===============================================================
0.00178309	0.525511
0.00301064	0.523935
0.00423819	0.530175
0.00546573	0.464276
0.00669328	0.401255
0.00792082	0.37646
0.00914837	0.379936
0.0103759	0.350516
0.0116035	0.309407
0.012831	0.251946
0.0140586	0.213279
0.0152861	0.202713
0.0165136	0.175754
0.0177412	0.0851526
0.0189687	0.0324464
0.0201963	0.116486
0.0214238	0.15559
0.0226514	-0.0445306
0.0238789	-0.0933239
0.0251064	0.392973
0.026334	0.673212
0.0275615	0.00645408
0.0287891	1.22505
0.0300166	7.1594
0.0312441	13.885
0.0324717	17.4821
0.0336992	17.4788
0.0349267	13.4076
0.0361543	7.82491
0.0373818	3.27409
0.0386094	0.445542
0.0398369	0.0224219
0.0410644	0.487101
0.042292	0.322723
0.0435195	0.00875772
0.044747	0.0307411
0.0459745	0.15073
0.0472021	0.127661
0.0484296	0.0639889
0.0496571	0.0689483
0.0508846	0.0876658
0.0521122	0.0784566
0.0533397	0.0581504
0.0545672	0.0524653
0.0557947	0.0504284
0.0570222	0.0362362
0.0582498	0.0388886
0.0594773	0.0412679
0.0607048	0.033817
0.0619323	0.0334098
0.0631598	0.0349628
0.0643873	0.0298674
0.0656148	0.0270238
0.0668423	0.0276458
0.0680698	0.0239533
0.0692973	0.024219
0.0705248	0.0263444
0.0717523	0.0166288
0.0729798	0.0181148
0.0742073	0.0187099
0.0754348	0.0146534
0.0766623	0.0186138
0.0778898	0.0197024
0.0791173	0.0208505
0.0803448	0.0156697
0.0815723	0.0152053
0.0827998	0.0154159
0.0840272	0.0131306
0.0852547	0.0155984
0.0864822	0.0086778
0.0877097	0.00914436
0.0889372	0.0103518
0.0901646	0.0183287
0.0913921	0.0160045
0.0926196	0.0151362
0.093847	0.00971892
0.0950745	0.00529848
0.096302	0.00844776
0.0975294	0.0064368
0.0987569	0.00709236
0.0999843	0.00799416
0.101212	0.00701352
0.102439	0.0001242
0.103667	0.00082188
0.104894	-0.00120852
0.106122	0.00195588
0.107349	0.00062532
0.108577	0.00452628
0.109804	0.00691308
0.111031	0.00702972
0.112259	-0.00071928
0.113486	0.00164376
0.114714	0.00252288
0.115941	0.00266004
0.117169	0.0047034
0.118396	0.00879336
0.119623	0.006426
0.120851	0.00303588
0.122078	0.0119707
0.123306	0.00043416
0.124533	0.00325728
0.12576	-0.00243432
0.126988	-0.00387828
0.128215	0.00070632
0.129442	0.00028836
0.13067	0.00456732
0.131897	0.00349488
0.133125	0.00068796
0.134352	-0.00195264
0.13558	-0.00058644
0.136807	-0.0018738
0.138034	0.00126468
0.139262	0.00222696
0.140489	1.08e-06
0.141716	0.00168588
0.142944	0.00626508
0.144171	-0.00037152
0.145398	-0.00052704
0.146626	6.48e-06
0.147853	-0.00201744
0.14908	0.0048816
0.150308	-0.000621
0.151535	0.00153684
0.152762	0.00248832
0.15399	0.008181
0.155217	0.00278424
0.156444	0.0023058
0.157672	0.00221508
0.158899	0.00211788
0.160126	0.00710748
0.161354	0.00755892
0.162581	0.00137484
0.163808	-0.00013392
0.165036	-0.0013716
0.166263	0.0027
0.16749	0.00334476
0.168717	0.0003618
0.169945	0.00021924
0.171172	-0.00243
0.172399	0.00309528
0.173626	0.00269136
0.174854	0.0023652
0.176081	0.00031644
0.177308	0.00365904
0.178536	0.00396468
0.179763	0.00189972
0.18099	0.00112752
0.182217	0.00062208
0.183445	0.00089424
0.184672	0.00163404
0.185899	0.00114048
0.187126	0.00211896
0.188354	0.00319788
0.189581	0.00296136
0.190808	0.00297432
0.192035	0.00196776
0.193262	0.00151092
0.19449	0.00057672
0.195717	0.00167832
0.196944	-0.00038448
0.198171	-0.00101952
0.199398	-0.0009396
0.200625	-0.00070848
0.201853	-0.00063288
0.20308	-0.00030672
0.204307	-0.00324972
0.205534	0.00173988
0.206761	0.0016686
0.207988	0.00113832
0.209216	0.00164268
0.210443	0.0017658
0.21167	-0.00034236
0.212897	0.00014256
0.214124	-0.00301968
0.215351	-0.00446472
0.216578	0.00129168
0.217805	-0.00097092
0.219033	0.00108756
0.22026	0.0002808
0.221487	0.00180252
0.222714	0.00050976
0.223941	-0.00232956
0.225168	-0.00345492
0.226395	-0.00126252
0.227622	0.00291168
0.228849	-0.00142344
0.230076	0.00039744
0.231303	-0.00160164
0.23253	3.24e-05
0.233757	-0.00142452
0.234985	7.344e-05
0.236212	-0.00230256
0.237439	-0.00093852
0.238666	0.00038556
0.239893	-0.00306288
0.24112	0.00327024
0.242347	0.00077544
0.243574	-0.00129276
0.244801	-0.0006426
0.246028	0.00046116
0.247255	0.00084348
0.248482	0.00104976
0.249709	0.0012636
0.250935	0.0007128
0.252162	-0.00122796
0.253389	0.00228744
0.254616	-0.00020088
0.255843	0.00150012
0.25707	-3.348e-05
0.258297	0.00293652
0.259524	0.00474876
0.260751	0.00309312
0.261978	-0.00151848
0.263205	-0.00327888
0.264432	-0.00147744
0.265659	-0.00158976
0.266886	0.0014904
0.268112	0.00189108
0.269339	0.00060156
0.270566	0.00076788
0.271793	-7.776e-05
0.27302	-0.00019332
0.274247	-0.0001836
0.275474	-0.00240516
0.2767	0.00069336
0.277927	-0.0011178
0.279154	-0.0006102
0.280381	-0.00177552
0.281608	0.00131436
0.282835	0.00170424
0.284061	-0.00030132
0.285288	0.0002646
0.286515	0.00146772
0.287742	0.00098388
0.288969	0.00145584
0.290195	0.0008478
0.291422	-0.00025596
0.292649	-0.00022032
0.293876	0.00094716
0.295102	-0.00070308
0.296329	0.00340416
0.297556	0.00116532
0.298783	0.00072684
0.300009	0.00032184
0.301236	0.00130032
0.302463	0.00055728
0.303689	-0.00017928
0.304916	0.0015768
0.306143	-0.0012528
0.307369	-0.00026136
0.308596	-0.00065772
0.309823	-0.00210168
0.311049	0.00202068
0.312276	6.48e-06
0.313503	0.002835
0.314729	-0.00049464
0.315956	-0.00171612
0.317183	0.00088776
0.318409	-0.00053892
0.319636	0.00102492
0.320862	-3.024e-05
0.322089	0.00330804
0.323316	0.00716796
0.324542	-0.0003996
0.325769	0.00126684
0.326995	0.0036666
0.328222	0.00270432
0.329448	0.00229608
0.330675	-0.00131328
0.331901	0.00083376
0.333128	0.0010422
0.334355	0.00142344
0.335581	0.00164376
0.336808	6.696e-05
0.338034	0.00220968
